source,target,importance
PKP4,PKP4,0.9999708
PPP5D1,PPP5D1,0.9999233
HSPA1L,HSPA1L,1.0
ASTN2,ASTN2,0.9998887
RFC3,RFC3,0.99995106
TNNI2,TNNI2,0.9999829
CTD-2639E6.9,CTD-2639E6.9,1.0
ATP5I,ATP5E,0.32798505
ATP5E,ATP5E,1.0
HOXB-AS3,HOXB-AS3,1.0
RP1-101G11.3,RP3-525N10.2,0.4189973
RP3-525N10.2,RP3-525N10.2,1.0
RBM17,RBM17,0.9999995
C6orf141,C6orf141,1.0
PPAN,PPAN,1.0
CTD-2619J13.13,CTD-2619J13.13,1.0
SERPINE2,SERPINE2,1.0
ITPK1-AS1,ITPK1-AS1,1.0
RHCE,RHCE,0.99998677
CTD-3184A7.4,CTD-3184A7.4,1.0
PLCH1,PLCH1,0.9999192
RPL39,RPS14,0.33229187
RPL10A,RPS14,0.3335052
RPL7,RPS14,0.34512445
RPS4X,RPS14,0.3465662
GNB2L1,RPS14,0.34781954
RPS8,RPS14,0.34923342
RPL12,RPS14,0.3552043
RPS27,RPS14,0.35653374
RPS6,RPS14,0.36973926
EEF1A1,RPS14,0.39635468
RPL3,RPS14,0.40371338
RPS3,RPS14,0.4161073
RPL34,RPS14,0.4167649
RPL13A,RPS14,0.4233184
RPS18,RPS14,0.47418302
RPS14,RPS14,0.99999934
JUN,JUN,0.9999618
YPEL1,YPEL1,0.9998961
LDLRAD3,LDLRAD3,1.0
RAB13,RAB13,0.9999297
LINC00511,CTB-178M22.2,0.48045138
KISS1,CTB-178M22.2,0.48484728
RP11-702F3.3,CTB-178M22.2,0.49379492
JADRR,CTB-178M22.2,0.52403927
HEY1,CTB-178M22.2,0.53987837
RP13-143G15.4,CTB-178M22.2,0.5557927
COL6A2,CTB-178M22.2,0.59326994
RP11-1152H15.1,CTB-178M22.2,0.5940804
LILRB1,CTB-178M22.2,0.5942976
RP11-366H4.1,CTB-178M22.2,0.6826816
PDGFA,CTB-178M22.2,0.6828697
PAEP,CTB-178M22.2,0.82541263
APP,CTB-178M22.2,0.826496
CTB-178M22.2,CTB-178M22.2,1.0
TFPI2,CTB-178M22.2,1.0
CCNA1,CTB-178M22.2,1.0
ANLN,ANLN,1.0
FPR1,KCNJ3,0.32457095
KCNJ3,KCNJ3,0.9999797
RP11-420N3.2,RP11-420N3.2,1.0
AC084809.2,AC084809.2,1.0
TMC8,TMC8,1.0
MDK,MDK,0.9999812
ORMDL2,ORMDL2,0.9999548
IGFBP2,IGFBP2,1.0
TFEB,TFEB,1.0
AQP10,AQP10,1.0
MYL12B,MYL12B,1.0
CASP4,XX-C2158C6.3,0.31690556
APOD,XX-C2158C6.3,0.5003526
XX-C2158C6.3,XX-C2158C6.3,1.0
GMEB1,GMEB1,0.999959
TRIM72,TRIM72,0.9998515
FCRL2,RP4-735C1.4,0.4491703
RP4-735C1.4,RP4-735C1.4,0.99992114
TRMT61A,TRMT61A,1.0
METTL18,METTL18,1.0
PDCD2L,PDCD2L,0.9999517
CDC27,CDC27,0.99994755
KCNJ14,KCNJ14,1.0
CT45A10,CT45A10,0.99992764
LMTK2,LMTK2,1.0
RP11-614F17.2,RP11-614F17.2,0.999933
CENPK,CENPK,0.9999847
VIMP,VIMP,0.999996
PRDX1,COX6C,0.3251557
COX6C,COX6C,1.0
ICAM4,ICAM4,0.9999776
PCDHB4,PCDHB4,1.0
PDE6G,PDE6G,1.0
TMEM91,TMEM91,1.0
UBL4B,UBL4B,1.0
NUCB2,NUCB2,1.0
SYDE2,SYDE2,1.0
EMC9,EMC9,1.0
NTN5,NTN5,0.99998933
TOP3B,TOP3B,0.99998385
RP11-567M16.6,RP11-567M16.6,1.0
ASB13,ASB13,0.99998164
LRRC32,LRRC32,1.0
NMI,NMI,1.0
TKFC,TKFC,0.9999431
RP1-212P9.3,RP1-212P9.3,1.0
CTD-3080P12.3,CTD-3080P12.3,0.99990827
BCAT1,BCAT1,0.9999799
RPL5,EEF2,0.31169876
RPL4,EEF2,0.3206273
RPL10A,EEF2,0.32291332
RPL7,EEF2,0.33151177
GNB2L1,EEF2,0.33767676
RPL34,EEF2,0.349908
RPS4X,EEF2,0.3595371
RPL10,EEF2,0.3621369
RPS3,EEF2,0.37201214
RPS18,EEF2,0.38351217
RPS6,EEF2,0.3959366
RPL3,EEF2,0.4518799
EEF1A1,EEF2,0.46258745
RPL13A,EEF2,0.4744596
EEF2,EEF2,1.0
TSHZ1,TSHZ1,0.999966
RP11-378A13.2,RP11-378A13.2,1.0
ELF3,ELF3,1.0
TOP2A,CCNF,0.3163286
PIF1,CCNF,0.32197937
CCNF,CCNF,0.9999411
EXOSC5,EXOSC5,0.9999318
PIR,PIR,0.9999323
CLDN15,CLDN15,0.99993706
SYNM,SYNM,1.0
NTMT1,NTMT1,1.0
KLHDC8B,KLHDC8B,1.0
CREBRF,CREBRF,0.999951
IER5,IER5,1.0
SERPINB8,CREB5,0.33890724
CREB5,CREB5,0.9998984
HNRNPH1,LRRC75A,0.31170198
LRRC75A,LRRC75A,1.0
TRIM59,TRIM59,1.0
CSTA,CSTA,1.0
ITGAX,ITGAX,1.0
SDAD1,SDAD1,0.9999963
B4GALT6,B4GALT6,0.9999025
SGTB,SGTB,1.0
RNF19B,RNF19B,1.0
GSG2,GSG2,1.0
HIVEP2,TTC9B,0.3605129
CA12,TTC9B,0.3836795
CCL3,TTC9B,0.4451707
PLPP4,TTC9B,0.48161554
PMEPA1,TTC9B,0.48161554
TTC9B,TTC9B,0.9999242
NFKBIA,NFKBIA,1.0
RP11-479O16.1,RP11-479O16.1,0.99991184
BUB3,BUB3,1.0
H3F3A,H3F3A,0.9999991
DOK2,DOK2,1.0
ATP5G3,CHCHD2,0.32831314
CHCHD2,CHCHD2,0.9999998
MKNK2,MKNK2,1.0
RP11-179K3.2,CXCL2,0.32339874
CXCL2,CXCL2,1.0
SLC25A4,SLC25A4,1.0
HBP1,HBP1,0.9999891
RP11-758H9.2,RP11-758H9.2,0.99996215
CCR3,CCR3,1.0
CCDC157,CCDC157,1.0
SAXO2,SAXO2,1.0
BCAS2,BCAS2,1.0
FRMD4A,FRMD4A,0.9998736
HSPA4L,HSPA4L,1.0
ATOX1,ATOX1,1.0
B4GALT1,B4GALT1,0.99989855
ATF5,ATF5,1.0
LINC00623,LINC00623,1.0
DCAF13,DCAF13,1.0
BEND3,BEND3,1.0
C10orf10,C10orf10,1.0
TP73,TP73,0.9999692
RASSF1,RASSF1,0.99991304
EIF1AX,EIF1AX,1.0
LINC00337,SAMD4A,0.31006312
GNAL,SAMD4A,0.37050357
PPP1R27,SAMD4A,0.3912873
RP11-22C11.2,SAMD4A,0.39618087
NWD1,SAMD4A,0.4439848
DENND2A,SAMD4A,0.47746333
CNR2,SAMD4A,0.5562744
RP11-46H11.3,SAMD4A,0.66106796
BAAT,SAMD4A,0.7611965
SAMD4A,SAMD4A,1.0
HACD3,HACD3,1.0
MOBP,ACVR1C,0.5101644
ACVR1C,ACVR1C,1.0
TNK2,TNK2,1.0
OSGEPL1-AS1,OSGEPL1-AS1,0.99992955
CAND2,CAND2,1.0
PRRT3,PRRT3,1.0
ST6GAL1,ST6GAL1,1.0
CHAF1B,CHAF1B,0.9998979
HLX-AS1,HLX-AS1,0.9999042
CCDC169,CCDC169,0.9999582
CTC-523E23.11,CTC-523E23.11,1.0
CLEC18B,CLEC18B,1.0
COX17,COX17,1.0
RP11-334G22.1,RP11-334G22.1,1.0
FASN,FASN,1.0
RGS2,RGS2,0.99997276
LIPG,LIPG,0.99999505
ARRDC3-AS1,ARRDC3-AS1,1.0
NTS,NTS,0.99986756
F2RL2,F2RL2,1.0
CDR2L,CDR2L,0.9999627
CLNS1A,CLNS1A,0.99998987
PC,PC,0.99987763
ZFP36L1,ZFP36L1,0.99993086
AC093818.1,AC093818.1,0.9998898
EPPK1,EPPK1,0.99997413
SLC30A10,SLC30A10,1.0
SMC2,SMC2,1.0
HADH,HADH,0.9999753
AC003092.1,PRDM9,0.4228136
PRDM9,PRDM9,1.0
CLTA,CLTA,1.0
USP51,USP51,1.0
PTGDS,PTGDS,0.9999993
TRIM38,TRIM38,0.99992156
HIST1H3J,HIST1H3J,1.0
PFKFB4,PFKFB4,1.0
PRDX1,NDUFC2,0.32522357
NDUFC2,NDUFC2,0.9999983
RP11-354P11.3,RP11-354P11.3,0.99995345
CDCA7,CDCA7,1.0
RP11-107I14.4,RP11-107I14.4,0.999967
HTR4,NR2F1-AS1,0.31212127
NR2F1-AS1,NR2F1-AS1,1.0
CTD-2325M2.1,CTD-2325M2.1,1.0
ACSL1,ACSL1,1.0
TRAPPC4,TRAPPC4,0.9999898
SNX20,LTC4S,0.42816678
LTC4S,LTC4S,0.99997556
PDLIM2,PDLIM2,0.99996245
HRC,HRC,0.9999367
ANO7,ANO7,1.0
PGLYRP4,PGLYRP4,1.0
ECHDC1,ECHDC1,0.9999839
FCER1G,FCER1G,0.99996066
GLUL,GLUL,1.0
ZNF845,ZNF845,0.9998761
LINC01212,LINC01212,0.9999447
SOCS2,SOCS2,0.99999964
AXL,AXL,0.9999251
MIR222HG,PLA2G12B,0.45103022
PLA2G12B,PLA2G12B,0.99997467
FARP1-AS1,AC003092.1,0.3411459
PRDM9,AC003092.1,0.4228136
CXCL8,AC003092.1,0.5971787
AC003092.1,AC003092.1,1.0
PDE6A,PDE6A,0.99998426
PMAIP1,PMAIP1,0.9999553
LRRC75B,LRRC75B,1.0
PLAUR,PLAUR,1.0
LINC00863,LINC00863,0.9999199
DNAJC22,DNAJC22,0.99993235
CYP51A1,CYP51A1,0.9999397
ZFP90,ZFP90,1.0
LINC01123,LINC01123,0.99996173
SPG20-AS1,SPG20-AS1,0.99990195
CKS1B,CALM2,0.31199747
HMGB2,CALM2,0.31686825
CKS2,CALM2,0.32253078
MT-CO1,CALM2,0.35138443
CALM2,CALM2,1.0
CERS1,CERS1,1.0
ABCB1,CDKN1A,0.34486017
LINC00431,CDKN1A,0.35897145
EMP1,CDKN1A,0.37149224
CDKN1A,CDKN1A,0.9999375
EIF4EBP1,EIF4EBP1,0.99999285
PTPRU,PTPRU,1.0
CARD8-AS1,CARD8-AS1,0.9999057
LMO2,LMO2,0.9999914
CTD-2309O5.3,CTD-2309O5.3,1.0
PRDX1,SSB,0.35429505
SSB,SSB,1.0
TADA2A,TADA2A,1.0
CAPG,CAPG,1.0
HIST1H3B,HIST1H3B,1.0
SEC61A2,SEC61A2,1.0
MAOB,MAOB,1.0
ZBED6CL,ZBED6CL,1.0
NFYB,NFYB,1.0
S100A1,S100A1,1.0
RP11-583F2.2,RP11-583F2.2,0.99993676
TIMMDC1,TIMMDC1,1.0
AC002550.6,AC002550.6,0.9998422
CHORDC1,CHORDC1,1.0
ITGB2-AS1,ITGB2-AS1,0.9999071
SEC61G,SEC61G,1.0
RP11-214F16.8,RP11-214F16.8,1.0
LINC01023,LINC01023,1.0
STYK1,STYK1,0.9999681
IRX5,IRX5,0.9998923
ANO8,ANO8,0.9998916
BLVRA,BLVRA,1.0
FGFR2,FGFR2,1.0
GGT1,GGT1,1.0
GNB5,GNB5,0.99994653
CBL,CBL,0.9999558
P3H4,P3H4,1.0
CALCOCO1,CALCOCO1,0.99990374
CTD-2314B22.1,FAM124A,0.35480848
FAM124A,FAM124A,0.99994177
NDUFA6,NDUFA6,0.99999416
RP11-635N19.1,RP11-635N19.1,1.0
RANBP1,SRM,0.34493908
SRM,SRM,0.9999975
CTD-2583P5.3,CTD-2583P5.3,0.99997306
SAMM50,SAMM50,0.99994767
TNFRSF10A,TNFRSF10A,1.0
LRRC25,LRRC25,1.0
MBLAC1,MBLAC1,0.99990094
HES1,HES1,1.0
TMCO4,TMCO4,1.0
MORN5,MORN5,0.99988335
SCML4,SCML4,1.0
RBM11,RBM11,0.9999017
MESP2,MESP2,0.99999064
CIAO1,CIAO1,1.0
MMP23B,MMP23B,0.99998355
WWOX,WWOX,0.99995404
XIRP1,MIR222HG,0.33543217
ANGPTL4,MIR222HG,0.3943643
PLA2G12B,MIR222HG,0.45103022
HMP19,MIR222HG,0.47148222
ARC,MIR222HG,0.55096275
MIR222HG,MIR222HG,1.0
ARHGAP4,ARHGAP4,0.9999947
MSN,MSN,1.0
RCL1,RCL1,1.0
TDRD12,TDRD12,1.0
NPIPA1,NPIPA1,1.0
PCNT,PCNT,0.9999353
RRP12,RRP12,0.9999505
RP11-556O15.1,RP11-556O15.1,1.0
HIST1H2BH,HIST1H2BH,0.9999814
GCNT2,GCNT2,1.0
MATN1-AS1,MATN1-AS1,0.99993414
CSMD1,CSMD1,0.99991834
CTBP2,CTBP2,0.9999532
FYCO1,FYCO1,1.0
ARNT2,ARNT2,0.99993265
AK6,AK6,1.0
RP11-317L10.1,RP11-317L10.1,0.9999062
C14orf166,C14orf166,1.0
FARP1-AS1,CXCL8,0.3226811
AC003092.1,CXCL8,0.5971787
CXCL8,CXCL8,0.99999064
C3,C3,0.9999902
C7orf25,C7orf25,1.0
HINT2,HINT2,1.0
HJURP,HJURP,1.0
FRAS1,FRAS1,0.9999713
ILF2,ILF2,1.0
HNF4A,HNF4A,1.0
MED27,MED27,1.0
MFI2,MFI2,0.9999501
PBDC1,PBDC1,1.0
UNC5B,UNC5B,0.9998958
RNASEH2A,RNASEH2A,0.99996066
CTB-138E5.1,CATSPER1,0.32969028
CATSPER1,CATSPER1,1.0
RP11-638I2.4,RP11-638I2.4,1.0
CTD-3076O17.2,CTD-3076O17.2,0.99998647
XX-C2158C12.2,XX-C2158C12.2,0.9999206
AP006621.5,AP006621.5,1.0
KRI1,KRI1,0.9999408
CTD-2265O21.3,CTD-2265O21.3,1.0
KCNK6,KCNK6,1.0
NEFH,NEFH,0.9999965
PHLDA1,DUSP5,0.3108734
DUSP5,DUSP5,0.9998854
SCAMP5,SCAMP5,0.99999297
ASF1B,ASF1B,1.0
ADGRE3,PTAFR,0.32883614
IL22RA2,PTAFR,0.4184015
PTAFR,PTAFR,1.0
C9orf72,C9orf72,0.9998639
SPOCK1,SPOCK1,1.0
ATP1B3,ATP1B3,1.0
DLL1,DLL1,0.9999845
IAPP,IAPP,0.9999094
ORAI1,ORAI1,1.0
COIL,COIL,1.0
NRG2,NRG2,1.0
ICOSLG,ICOSLG,0.999901
MARCKSL1,MARCKSL1,0.9999983
CR1,CR1,1.0
NDUFAB1,NDUFAB1,1.0
TMEM205,TMEM205,1.0
DHRS4L2,DHRS4L2,1.0
RHOH,RHOH,1.0
RP11-157D23.2,KRT7,0.32126427
FXYD6,KRT7,0.32126427
MUC12,KRT7,0.34635887
ABCB1,KRT7,0.37160036
EPHA10,KRT7,0.7596867
CCDC70,KRT7,0.7596867
KRT7,KRT7,1.0
ZNF665,ZNF665,0.9998988
EIF1,MT-CO1,0.3309595
UBB,MT-CO1,0.334635
PSMA4,MT-CO1,0.33642185
MT-ND3,MT-CO1,0.33970386
HSP90AA1,MT-CO1,0.3455696
CALM2,MT-CO1,0.35138443
PRDX1,MT-CO1,0.36360487
FAU,MT-CO1,0.3666771
MT-ND2,MT-CO1,0.5288536
MT-CYB,MT-CO1,0.57086444
MT-ND1,MT-CO1,0.6661712
MT-ATP6,MT-CO1,0.71557236
MT-ND4,MT-CO1,0.7716845
MT-CO3,MT-CO1,0.7785692
MT-CO2,MT-CO1,0.8019472
MT-CO1,MT-CO1,1.0
SSPN,SSPN,1.0
IGSF6,IGSF6,0.99981284
SLC18A2,SLC18A2,1.0
HIP1R,HIP1R,1.0
UBE2L6,UBE2L6,1.0
TLCD1,TLCD1,1.0
ZNF197,ZNF197,1.0
BEX4,BEX4,1.0
BBC3,BBC3,1.0
PTPRH,PTPRH,1.0
RP11-488L18.8,RP11-488L18.8,1.0
SF3B5,SF3B5,0.99999547
ATP7A,ATP7A,1.0
FLT1,FLT1,1.0
PRKAG2-AS1,PRKAG2-AS1,1.0
ATP5G3,PRDX2,0.3125351
CACYBP,PRDX2,0.3134033
ATP5O,PRDX2,0.31858486
RANBP1,PRDX2,0.31911376
TPI1,PRDX2,0.3194416
UBB,PRDX2,0.33300012
NDUFS5,PRDX2,0.33844572
NME1,PRDX2,0.34624702
PSMB1,PRDX2,0.34999081
RAN,PRDX2,0.3574155
GSTP1,PRDX2,0.37554482
PRDX1,PRDX2,0.41685653
PRDX2,PRDX2,1.0
CRNDE,CRNDE,0.999993
ZNF211,ZNF211,0.99990934
SPRY1,SPRY1,0.9999495
RTN4RL2,RTN4RL2,1.0
DDOST,DDOST,1.0
COPE,COPE,0.9999829
CKMT1A,CKMT1A,0.9999686
HAMP,HAMP,0.99995506
C4orf32,C4orf32,0.9999109
ANXA2,ANXA2,1.0
RP11-342K6.1,RP11-342K6.1,1.0
AVP,AVP,0.99991167
SVIP,SVIP,1.0
ENDOD1,ENDOD1,1.0
FRMPD2,FRMPD2,1.0
RP1-140A9.1,RP1-140A9.1,1.0
AFP,AFP,1.0
PRDX1,MRPL13,0.32003948
MRPL13,MRPL13,1.0
C10orf54,C10orf54,0.99989945
DCUN1D5,DCUN1D5,1.0
AC005307.1,AC005307.1,1.0
TMEM45A,TMEM45A,1.0
PCGF5,PCGF5,1.0
DLGAP5,DLGAP5,0.99995005
MPPE1,MPPE1,0.99999523
RRAGB,RRAGB,1.0
C1orf21,C1orf21,0.99998057
DHPS,DHPS,1.0
IFI16,IFI16,0.9999402
RP11-433M22.2,RP11-433M22.2,0.99992573
AC079922.3,AC079922.3,1.0
RAD51AP1,RAD51AP1,0.99995476
KCNN3,OTOG,0.45456412
OTOG,OTOG,1.0
MGST3,MGST3,1.0
LRMP,LRMP,0.99992925
MRPL44,MRPL44,0.99990904
BCAM,BCAM,0.9999369
RP4-753F5.1,RP4-753F5.1,0.99992704
NAV3,NAV3,0.9999987
NPFFR1,NPFFR1,1.0
PRDX1,SNRPB2,0.32345828
SNRPB2,SNRPB2,1.0
ANXA1,ANXA1,0.99997115
SERPINB6,SERPINB6,0.99999416
LAPTM4B,LAPTM4B,0.9999958
FCRLA,FCRLA,1.0
DEGS2,DEGS2,1.0
CSF2RA,SRPX,0.34451723
HAS1,SRPX,0.39981148
SERPINB8,SRPX,0.46632552
SERPINE1,SRPX,0.5763907
HIVEP2,SRPX,0.66270447
CRLF2,SRPX,0.7512864
CCL2,SRPX,0.7831626
CCL4L2,SRPX,0.791753
IL3RA,SRPX,0.7963027
SRPX,SRPX,1.0
PRR9,SRPX,1.0
TNS1,SRPX,1.0
MAGEB2,MAGEB2,1.0
ZNF543,ZNF543,1.0
ISG20,ISG20,1.0
NIFK,NIFK,1.0
PCMT1,PCMT1,0.9999868
BCAP31,BCAP31,1.0
PLD1,PLD1,0.9999044
B4GALT2,B4GALT2,1.0
ZNF595,ZNF595,0.999954
APOO,APOO,1.0
RP11-109N23.4,RP11-109N23.4,1.0
YPEL3,YPEL3,1.0
PPIL6,PPIL6,0.9999553
ELMO1,ELMO1,0.9999954
RP11-3D4.3,RP11-3D4.3,1.0
CD48,CD48,1.0
AVIL,AVIL,0.99994767
CLU,CLU,1.0
ORC1,ORC1,0.9999517
RP11-65J3.3,LEFTY2,0.5576328
LEFTY1,LEFTY2,0.6374567
LEFTY2,LEFTY2,0.9999692
TRIP13,TRIP13,1.0
CD24,CD24,1.0
PRIM1,PRIM1,1.0
LRR1,LRR1,1.0
RUVBL2,RUVBL2,1.0
TMEM217,TMEM217,1.0
CTD-2576D5.4,CTD-2576D5.4,0.9999156
PRR35,PRR35,1.0
TRIM71,TRIM71,0.99993145
LRRC39,LRRC39,0.99984586
GLRX2,GLRX2,1.0
RAN,PRDX4,0.32390085
PRDX1,PRDX4,0.33157614
NME1,PRDX4,0.33692712
RANBP1,PRDX4,0.35637975
PRDX4,PRDX4,0.99999565
BATF3,BATF3,0.99988043
IL1B,IL1B,1.0
AC104532.4,AC104532.4,0.999939
TRAPPC2P1,TRAPPC2P1,1.0
RP3-402G11.26,RP3-402G11.26,1.0
SYTL4,SYTL4,0.9999238
KBTBD7,KBTBD7,0.99999845
TEKT2,TEKT2,1.0
RNF24,RNF24,1.0
CCNH,CCNH,0.9999129
RP11-560J1.2,RP11-560J1.2,0.9999353
PRSS27,PRSS27,0.99995923
ARL17B,ARL17B,0.99992335
EMG1,EMG1,0.99999124
ABCF1,ABCF1,1.0
TMEM154,TMEM154,0.99989355
HEY2,HEY2,1.0
LINC00685,LINC00685,0.99996895
DSCC1,DSCC1,1.0
IPP,IPP,0.99995506
PITPNM2,PITPNM2,0.999955
AC005523.3,AC005523.3,0.9998909
RP11-556I14.1,AATBC,0.3884488
AATBC,AATBC,1.0
FARSA,FARSA,1.0
RNF125,RNF125,0.99989957
NCAPG,NCAPG,1.0
FOXA1,FOXA1,1.0
CD84,CD84,1.0
FAM178B,FAM178B,1.0
HOXA5,HOXA5,0.999866
ZSWIM1,ZSWIM1,0.999979
TBCCD1,TBCCD1,1.0
TMEM106A,TMEM106A,1.0
MFSD2B,MFSD2B,1.0
LIMA1,LIMA1,1.0
RP11-893F2.6,RP11-893F2.6,0.9999946
RAN,EIF5A,0.32107386
HSPE1,EIF5A,0.33500487
PTMA,EIF5A,0.3451433
NME1,EIF5A,0.35353932
RANBP1,EIF5A,0.42137152
EIF5A,EIF5A,1.0
NR2F1-AS1,HTR4,0.31212127
SEMA6A,HTR4,0.35432726
HTR4,HTR4,1.0
HVCN1,HVCN1,1.0
P2RX6,P2RX6,1.0
HSPA1A,HSPA1A,0.99993396
SDCBP2,SDCBP2,1.0
ZMIZ1,ZMIZ1,1.0
NFIB,NFIB,1.0
NBL1,NBL1,1.0
TAF1D,TAF1D,1.0
MACROD2,MACROD2,1.0
RP11-548H3.1,RP11-548H3.1,0.99992025
SMARCD3,SMARCD3,0.9999821
WDR78,WDR78,0.9998661
KCNQ1OT1,KCNQ1OT1,0.99993455
PRDX1,FRG1,0.31594265
FRG1,FRG1,0.999984
IL22RA2,PSMB8,0.385705
PSMB8,PSMB8,0.99993247
ARPC1B,ARPC1B,1.0
ALG1L2,ALG1L2,1.0
EGR1,FOS,0.31011957
FOS,FOS,1.0
IRF1,IRF1,1.0
RP11-499P20.2,RP11-499P20.2,1.0
NFIA,NFIA,1.0
PPFIBP2,ANK3,0.39259914
OR51E1,ANK3,0.40412813
SCUBE2,ANK3,0.42157573
RP11-44M6.1,ANK3,0.6589219
ANK3,ANK3,1.0
COL6A2,RP11-366H4.1,0.40482283
RP11-1152H15.1,RP11-366H4.1,0.4054098
LILRB1,RP11-366H4.1,0.40550357
SERPINB8,RP11-366H4.1,0.42563415
PDGFA,RP11-366H4.1,0.46600968
PLPP4,RP11-366H4.1,0.46816722
PMEPA1,RP11-366H4.1,0.46816722
CCL3,RP11-366H4.1,0.5440232
HEY1,RP11-366H4.1,0.55253756
PAEP,RP11-366H4.1,0.56338024
TRIML2,RP11-366H4.1,0.6406372
CCNA1,RP11-366H4.1,0.68268144
CTB-178M22.2,RP11-366H4.1,0.6826816
TFPI2,RP11-366H4.1,0.6826817
APP,RP11-366H4.1,0.6947961
RP11-366H4.1,RP11-366H4.1,0.9999587
RP11-538P18.2,RP11-538P18.2,0.9999186
SH3PXD2A,SH3PXD2A,0.99984276
CEP135,CEP135,0.9999435
FMNL1,FMNL1,1.0
CMTM6,CMTM6,1.0
MAPKAPK2,MAPKAPK2,0.9999801
GPR37,GPR37,1.0
PUS1,PUS1,1.0
GTPBP4,GTPBP4,0.9999787
E2F1,E2F1,1.0
GNAS,GNAS,0.99999356
LYAR,LYAR,0.9999919
CDC6,CDC6,0.9999436
AC016629.3,AC016629.3,1.0
IYD,IYD,1.0
TTC3,TTC3,0.9999894
CAMKK2,CAMKK2,1.0
PRH1,PRH1,0.9999779
ALDH3A2,ALDH3A2,1.0
FOXO1,FOXO1,0.9999536
NDST2,NDST2,1.0
ELOVL7,ELOVL7,1.0
IZUMO1,IZUMO1,0.99994034
TTC8,TTC8,0.999909
HOXA13,HOXA13,1.0
MERTK,MERTK,0.99993235
PHLDA3,RP11-16K12.1,0.35890847
GPR183,RP11-16K12.1,0.35968676
RP11-16K12.1,RP11-16K12.1,1.0
PAQR4,PAQR4,0.999957
HSBP1L1,HSBP1L1,1.0
FABP7,FABP7,1.0
DCTN3,DCTN3,1.0
H6PD,H6PD,0.9999297
ZSCAN26,ZSCAN26,0.99987215
RP11-392O17.2,RP11-392O17.2,1.0
RP1-315G1.3,RP1-315G1.3,0.9999184
AP001437.1,AP001437.1,0.999999
ARHGAP9,ARHGAP9,1.0
MAD2L1BP,MAD2L1BP,1.0
RP4-545L17.11,RP4-545L17.11,1.0
AC007405.4,AC007405.4,1.0
RAB27A,RAB27A,1.0
SLC19A1,SLC19A1,0.99995565
MXD3,MXD3,0.99991953
BAIAP2,BAIAP2,1.0
HIST1H2BE,HIST1H2BE,1.0
SLCO2B1,SLCO2B1,1.0
SCN9A,SCN9A,1.0
JAML,IL22RA2,0.32539874
HCLS1,IL22RA2,0.3255187
DHRS9,IL22RA2,0.32836848
ADGRG5,IL22RA2,0.34010565
PSMB8,IL22RA2,0.385705
GLIPR1,IL22RA2,0.40247667
PTAFR,IL22RA2,0.4184015
MYO1G,IL22RA2,0.42527646
NCF1,IL22RA2,0.4664255
CIB3,IL22RA2,0.52797925
ADGRE3,IL22RA2,0.7351577
IL22RA2,IL22RA2,0.99999994
ALG3,ALG3,1.0
PRMT1,PRMT1,1.0
SDSL,SDSL,1.0
IL15,INADL,0.52041084
FAM155A,INADL,0.54056257
INADL,INADL,0.99995226
MUC20,MUC20,0.9998646
XG,XG,1.0
ZNF165,ZNF165,1.0
GATC,GATC,0.9999357
TMEM51,TMEM51,0.9999773
LINC00944,LINC00944,1.0
CCDC71L,CCDC71L,1.0
RP4-597N16.4,RP4-597N16.4,0.9999318
CAMK2N1,CAMK2N1,0.9999234
CNIH2,CNIH2,1.0
EPHB6,CD69,0.31558046
PHLDA1,CD69,0.3304953
EMP1,CD69,0.3368643
CD69,CD69,1.0
RGMA,NGFR,0.3590133
MDFI,NGFR,0.36029652
KRT15,NGFR,0.37364364
GUCY2D,NGFR,0.38835332
RP11-462G2.1,NGFR,0.4639089
PCDHA3,NGFR,0.54224974
NGFR,NGFR,0.9999913
SPTBN2,SPTBN2,1.0
SERPINB8,EPHA10,0.32499558
RP11-366H4.1,EPHA10,0.3471027
KRT7,EPHA10,0.7596867
CCDC70,EPHA10,1.0
EPHA10,EPHA10,1.0
TOP2A,KIF2C,0.32705858
KIF2C,KIF2C,0.9999952
IGFBP5,PROK1,0.3317286
PROK1,PROK1,0.99994737
C9orf24,C9orf24,1.0
OIP5,OIP5,1.0
PMPCA,PMPCA,0.9999599
SLC29A1,SLC29A1,0.9999339
OSR2,OSR2,0.99992865
TCEB3-AS1,TCEB3-AS1,1.0
SNX33,SNX33,0.9999376
MRAP2,MRAP2,1.0
PYROXD2,PYROXD2,0.9999924
C20orf27,C20orf27,1.0
PIP4K2C,PIP4K2C,0.99998075
EXOSC3,EXOSC3,0.9999559
CTSC,CTSC,0.9999648
PKLR,PKLR,0.9998555
GGH,GGH,0.99992055
NEK2,NEK2,0.99992037
HECTD3,HECTD3,1.0
TFAM,TFAM,0.99999374
RGCC,RGCC,1.0
HIST1H3F,HIST1H3F,0.9999901
COPS5,COPS5,0.99999505
POU6F1,POU6F1,0.9999358
IL3RA,CCL3,0.31897885
ASPH,CCL3,0.41487202
TTC9B,CCL3,0.4451707
AKAP12,CCL3,0.44828483
TRIML2,CCL3,0.4688023
RP11-366H4.1,CCL3,0.5440232
HIVEP2,CCL3,0.692265
PLPP4,CCL3,0.9244827
PMEPA1,CCL3,0.9244827
CCL3,CCL3,0.9999678
PDE11A,PDE11A,0.9999652
REXO2,REXO2,1.0
TGS1,TGS1,1.0
SLC5A6,SLC5A6,0.9999662
